Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s1c1i,s1c1a,class
M,0.49,1.1,state,1.2,0.7,MRT,THRISSUR,1.1,1.0,Bad
F,0.41,0.9,cbsc,0.9,0.5,MGT,PALAKKAD,1.1,1.0,Bad
M,0.20,0.9,state,0.9,0.8,MRT,THRISSUR,0.9,1.0,Bad
M,1.23,1.2,cbsc,1.2,3.0,MRT,THRISSUR,1.3,1.1,Good
M,1.31,1.0,cbsc,0.8,2.0,MGT,THRISSUR,1.3,1.0,Bad
M,1.02,1.0,cbsc,0.9,1.3,MGT,THRISSUR,1.0,0.9,Bad
M,0.18,0.8,cbsc,1.2,0.5,MGT,THRISSUR,0.7,0.9,Bad
M,0.61,0.9,cbsc,1.1,1.4,MGT,THRISSUR,0.9,1.0,Bad
F,0.69,0.9,state,1.0,0.3,MGT,THRISSUR,1.1,1.0,Bad
M,0.49,1.0,state,0.7,0.7,MGT,THRISSUR,0.9,1.0,Bad
M,1.41,1.0,state,0.9,0.9,MGT,THRISSUR,0.9,1.1,Bad
M,0.15,0.9,state,0.9,0.7,MRT,THRISSUR,0.6,1.0,Bad
M,0.15,1.0,state,1.0,1.5,MRT,THRISSUR,1.1,1.1,Bad
M,0.13,1.1,state,1.0,0.8,MRT,THRISSUR,0.9,1.1,Good
M,0.35,0.7,state,0.8,1.0,NRI,THRISSUR,0.6,1.0,Bad
F,1.25,1.1,state,1.0,1.0,MRT,THRISSUR,1.2,1.1,Bad
F,0.15,0.9,state,1.2,1.1,MRT,THRISSUR,1.1,1.0,Good
M,2.05,1.1,state,0.7,0.7,MRT,THRISSUR,1.3,1.0,Good
M,2.05,0.9,cbsc,1.2,1.0,MGT,THRISSUR,1.3,1.0,Bad
M,0.25,1.2,state,0.9,2.8,MRT,THRISSUR,1.4,1.1,Good
F,0.15,1.0,state,1.2,0.6,MGT,THRISSUR,1.0,1.1,Bad
F,2.46,1.1,state,0.8,0.8,MRT,THRISSUR,1.1,1.0,Good
F,0.82,1.1,cbsc,1.3,1.6,MRT,THRISSUR,1.1,0.9,Good
F,0.34,1.2,state,1.1,1.7,MRT,THRISSUR,1.0,0.9,Bad
F,0.43,1.0,state,1.1,0.9,MGT,THRISSUR,1.0,1.0,Good
M,0.53,1.1,state,1.1,0.8,MRT,THRISSUR,1.3,1.0,Bad
M,0.12,1.0,state,1.2,0.4,MRT,THRISSUR,0.6,1.0,Bad
F,0.15,0.9,state,1.0,0.2,MRT,THRISSUR,0.6,1.0,Bad
F,0.53,1.1,state,1.2,0.5,MGT,THRISSUR,0.8,1.0,Good
F,0.25,1.1,state,0.9,1.5,MRT,KOZHIKODE,1.1,0.9,Bad
F,3.28,0.9,cbsc,0.8,0.8,MGT,KOZHIKODE,1.2,1.0,Bad
F,0.99,1.0,state,1.1,0.7,MGT,MALAPPURAM,1.1,1.0,Bad
M,0.12,0.8,state,1.2,0.6,MRT,THRISSUR,0.8,1.0,Good
F,1.23,0.9,cbsc,0.7,0.4,MGT,KOZHIKODE,1.1,1.0,Bad
M,0.99,1.0,state,1.0,0.4,MGT,THRISSUR,0.8,1.0,Bad
M,1.84,0.7,cbsc,0.9,0.3,MRT,THRISSUR,0.7,0.9,Bad
F,0.99,1.1,state,0.8,0.6,MRT,THRISSUR,1.0,1.1,Good
F,5.73,1.0,state,1.0,0.7,MGT,ALAPPUZHA,1.3,1.1,Good
M,0.65,1.1,state,0.7,2.0,MRT,THRISSUR,1.1,1.0,Good
F,1.23,1.2,state,1.2,1.9,MRT,THRISSUR,1.3,1.1,Bad
M,1.28,0.9,cbsc,1.0,0.4,MRT,THRISSUR,0.9,1.0,Good
F,0.32,1.1,state,1.2,0.8,MRT,THRISSUR,1.3,1.1,Good
F,0.72,1.0,cbsc,1.3,1.2,MGT,THRISSUR,1.1,1.0,Bad
F,0.25,0.9,state,0.9,1.0,NRI,THRISSUR,1.0,1.0,Bad
F,0.20,0.9,state,1.2,1.0,MGT,THRISSUR,1.0,1.0,Bad
M,0.74,0.9,state,1.0,3.0,MGT,THRISSUR,0.7,1.0,Good
F,0.10,1.0,state,0.8,0.4,MRT,THRISSUR,0.9,1.0,Good
M,3.28,1.1,cbsc,0.9,3.6,MRT,THRISSUR,1.3,1.1,Good
F,0.11,1.1,state,0.8,1.9,MRT,THRISSUR,1.3,1.0,Good
F,1.64,1.2,state,1.1,0.9,MRT,THRISSUR,1.0,1.0,Good
F,1.23,0.9,cbsc,1.1,0.8,MGT,THRISSUR,1.2,0.9,Good
F,0.98,1.0,cbsc,1.0,0.7,MGT,PALAKKAD,1.3,1.0,Good
M,1.97,1.1,state,1.2,1.8,MRT,THRISSUR,1.1,1.0,Bad
F,0.49,0.9,state,0.8,0.5,MRT,THRISSUR,1.1,1.1,Good
F,2.25,1.1,cbsc,1.0,2.5,MRT,THRISSUR,1.3,0.9,Bad
F,4.10,1.1,state,1.1,1.0,MRT,THRISSUR,0.9,1.0,Bad
F,4.91,0.8,state,0.9,1.0,NRI,THRISSUR,0.7,1.0,Good
F,0.39,1.2,state,1.2,1.4,MGT,THRISSUR,1.3,1.0,Bad
F,0.15,1.1,state,1.2,0.9,MRT,THRISSUR,1.1,1.1,Good
M,2.11,0.8,cbsc,0.7,1.3,MRT,THRISSUR,1.1,1.0,Good
M,0.33,1.1,state,1.3,1.1,MRT,THRISSUR,0.9,1.0,Bad
M,0.25,0.9,cbsc,1.2,1.8,MRT,THRISSUR,1.1,0.9,Good
M,0.29,1.1,state,0.8,0.6,MRT,THRISSUR,1.0,1.0,Bad
M,0.10,0.8,state,1.1,0.1,MRT,THRISSUR,0.4,0.7,Bad
F,0.61,1.2,state,0.9,1.1,MRT,THRISSUR,1.3,1.1,Bad
F,0.15,0.8,state,1.0,0.5,MGT,THRISSUR,0.7,0.8,Good
F,0.17,1.0,state,0.7,0.7,MGT,THRISSUR,1.2,1.0,Bad
M,0.84,1.0,state,1.3,1.4,MRT,PALAKKAD,0.9,1.0,Good
M,0.10,0.9,state,0.7,1.0,NRI,THRISSUR,1.0,0.8,Bad
M,0.44,0.8,cbsc,1.1,0.6,MGT,PALAKKAD,1.0,1.0,Bad
F,0.10,1.1,state,1.0,0.7,MRT,THRISSUR,1.1,1.1,Bad
F,2.05,0.7,cbsc,0.9,1.0,NRI,KOTTAYAM,0.9,1.0,Bad
M,0.25,1.1,state,0.8,0.7,MRT,THRISSUR,1.1,1.0,Bad
F,0.17,1.2,state,1.2,1.0,MGT,THRISSUR,0.9,1.0,Good
M,1.02,0.8,cbsc,0.6,1.1,MGT,THRISSUR,0.8,1.1,Good
M,0.35,0.8,state,1.1,1.0,NRI,THRISSUR,0.6,1.0,Bad
F,2.15,1.1,cbsc,1.2,1.8,MRT,THRISSUR,1.2,1.0,Bad
F,0.82,1.0,state,0.8,0.3,MRT,THRISSUR,0.6,1.0,Good
F,0.17,1.1,state,0.7,0.7,MRT,THRISSUR,0.6,1.0,Bad
M,0.17,0.9,cbsc,1.2,0.6,MRT,THRISSUR,1.3,0.8,Bad
M,2.46,0.8,cbsc,0.9,1.1,MGT,THRISSUR,0.8,1.0,Good
F,0.49,1.1,state,1.1,0.5,MGT,THRISSUR,1.1,1.0,Bad
M,1.23,0.9,state,0.8,0.5,MGT,THRISSUR,0.6,0.8,Good
M,0.41,0.9,state,0.8,1.0,NRI,KOZHIKODE,0.6,1.0,Bad
F,0.86,1.0,cbsc,1.1,2.4,MGT,THRISSUR,1.3,0.9,Bad
M,2.06,0.9,cbsc,0.8,0.8,MGT,THRISSUR,0.9,1.0,Bad
F,0.49,1.1,cbsc,1.0,1.5,MRT,THRISSUR,1.3,1.0,Good
F,0.62,1.1,state,1.0,0.4,MRT,THRISSUR,0.9,1.0,Bad
F,1.23,1.2,state,0.9,1.6,MRT,THRISSUR,1.2,1.0,Good
M,0.57,1.1,state,1.1,0.5,MRT,THRISSUR,0.9,1.0,Bad
M,4.42,0.8,cbsc,1.1,0.4,MRT,THRISSUR,0.8,1.0,Bad
M,5.32,1.0,state,1.2,0.8,MRT,THRISSUR,0.7,1.0,Bad
M,0.82,1.0,state,1.1,0.5,MGT,THRISSUR,0.9,1.0,Bad
M,0.39,1.0,state,0.8,0.6,MRT,THRISSUR,0.9,1.0,Good
M,0.39,1.1,state,1.0,0.6,MRT,THRISSUR,1.0,1.0,Good
F,0.16,1.1,state,1.0,0.6,MGT,MALAPPURAM,1.1,1.1,Good
F,0.33,1.1,state,1.1,0.3,MGT,THRISSUR,1.0,1.0,Bad
M,0.15,1.1,state,1.1,1.7,MRT,THRISSUR,1.0,1.0,Good
F,0.22,1.1,state,1.1,1.1,MRT,THRISSUR,0.9,1.1,Good
F,2.30,1.0,cbsc,1.1,1.5,MRT,THRISSUR,1.0,1.1,Good
M,0.17,1.0,state,1.2,0.4,MGT,THRISSUR,0.8,1.0,Bad
F,4.10,1.1,cbsc,1.2,1.8,MRT,THRISSUR,1.3,1.1,Good
F,0.82,0.9,cbsc,0.9,1.0,NRI,THRISSUR,1.0,1.0,Good
F,0.12,0.9,state,1.0,0.4,MRT,THRISSUR,1.1,1.1,Bad
F,0.49,0.8,icse,1.1,0.4,MGT,THRISSUR,0.9,1.0,Bad
M,2.87,0.9,state,0.8,0.9,MGT,THRISSUR,0.5,1.0,Bad
F,0.61,1.1,state,0.9,1.0,NRI,THRISSUR,1.0,1.1,Good
F,0.20,1.1,state,0.7,0.8,MRT,THRISSUR,1.2,1.1,Good
M,0.03,0.9,state,0.9,0.3,MRT,THRISSUR,0.7,1.0,Good
M,0.39,1.2,state,1.1,1.9,MRT,THRISSUR,1.2,1.0,Bad
M,2.22,0.9,cbsc,1.2,0.5,MRT,THRISSUR,1.1,1.1,Good
M,1.64,1.0,state,0.9,1.0,NRI,THRISSUR,0.8,1.0,Good
M,0.21,0.9,cbsc,1.3,0.4,MGT,THRISSUR,1.1,1.1,Good
F,0.05,1.0,state,0.8,0.9,MGT,THRISSUR,1.1,1.0,Good
