Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c2i,s2c2a,s2c2
M,120000,91,state,93,72,MRT,THRISSUR,33,80,C
F,100000,69,cbsc,67,54,MGT,PALAKKAD,35,88,B
M,50000,73,state,72,91,MRT,THRISSUR,28,84,C
M,300000,92,cbsc,92,325,MRT,THRISSUR,39,96,B+
M,320000,81,cbsc,61,219,MGT,THRISSUR,36,94,B
M,250000,79,cbsc,65,140,MGT,THRISSUR,31,90,C
M,45000,63,cbsc,90,50,MGT,THRISSUR,18,90,F
M,150000,72,cbsc,80,156,MGT,THRISSUR,24,86,P
F,168000,74,state,74,33,MGT,THRISSUR,24,88,F
M,120000,83,state,49,74,MGT,THRISSUR,23,86,P
M,345000,83,state,70,100,MGT,THRISSUR,19,86,F
M,36000,69,state,69,78,MRT,THRISSUR,18,88,F
M,36000,77,state,76,161,MRT,THRISSUR,23,100,F
M,32000,86,state,75,92,MRT,THRISSUR,23,100,C
M,85000,59,state,58,108,NRI,THRISSUR,18,90,F
F,305028,91,state,74,109,MRT,THRISSUR,31,94,B
F,36000,75,state,88,120,MRT,THRISSUR,30,96,B
M,500000,91,state,50,75,MRT,THRISSUR,39,84,B+
M,500000,70,cbsc,90,105,MGT,THRISSUR,24,86,F
M,60000,96,state,69,303,MRT,THRISSUR,44,98,A+
F,36000,83,state,93,63,MGT,THRISSUR,27,90,B
F,600000,87,state,63,92,MRT,THRISSUR,25,94,F
F,200000,87,cbsc,97,180,MRT,THRISSUR,35,84,B+
F,84000,92,state,82,190,MRT,THRISSUR,36,82,B+
F,105000,83,state,84,98,MGT,THRISSUR,41,90,B
M,129263,89,state,83,84,MRT,THRISSUR,40,100,B
M,30000,78,state,93,40,MRT,THRISSUR,23,98,C
F,36000,68,state,79,22,MRT,THRISSUR,23,92,F
F,130000,86,state,89,51,MGT,THRISSUR,33,92,C
F,60000,92,state,71,165,MRT,KOZHIKODE,29,86,C
F,800000,68,cbsc,59,92,MGT,KOZHIKODE,30,92,C
F,0,84,state,81,72,MGT,MALAPPURAM,30,94,C
M,30000,66,state,91,68,MRT,THRISSUR,23,96,F
F,300000,68,cbsc,57,47,MGT,KOZHIKODE,34,90,C
M,241500,83,state,80,47,MGT,THRISSUR,29,90,F
M,450000,59,cbsc,66,34,MRT,THRISSUR,20,69,F
F,241300,90,state,63,62,MRT,THRISSUR,40,90,B
F,1400000,82,state,79,78,MGT,ALAPPUZHA,35,98,C
M,159000,91,state,54,216,MRT,THRISSUR,33,92,B
F,300000,95,state,88,209,MRT,THRISSUR,32,90,B
M,313716,76,cbsc,74,44,MRT,THRISSUR,29,88,C
F,78000,92,state,93,89,MRT,THRISSUR,38,98,B+
F,175000,83,cbsc,95,133,MGT,THRISSUR,37,94,B
F,60000,69,state,67,109,NRI,THRISSUR,23,98,F
F,48000,75,state,89,109,MGT,THRISSUR,28,98,C
M,180000,68,state,77,326,MGT,THRISSUR,27,92,C
F,24000,83,state,62,41,MRT,THRISSUR,35,88,B
M,800000,86,cbsc,68,388,MRT,THRISSUR,37,94,B
F,27000,84,state,63,203,MRT,THRISSUR,35,88,B
F,400000,94,state,80,101,MRT,THRISSUR,40,94,B+
F,300000,71,cbsc,85,85,MGT,THRISSUR,31,90,B
F,240000,83,cbsc,78,80,MGT,PALAKKAD,39,98,B+
M,480000,86,state,94,195,MRT,THRISSUR,32,100,C
F,120000,75,state,64,50,MRT,THRISSUR,33,94,C
F,550000,91,cbsc,78,274,MRT,THRISSUR,34,92,B
F,1000000,91,state,84,106,MRT,THRISSUR,38,90,B+
F,1200000,63,state,65,109,NRI,THRISSUR,31,98,F
F,96000,98,state,91,157,MGT,THRISSUR,34,91,A
F,36000,91,state,88,102,MRT,THRISSUR,26,94,B
M,515568,67,cbsc,55,140,MRT,THRISSUR,31,91,B
M,80000,86,state,98,116,MRT,THRISSUR,24,87,B
M,60000,73,cbsc,95,196,MRT,THRISSUR,28,79,B
M,70000,85,state,60,63,MRT,THRISSUR,25,97,B
M,24000,66,state,81,6,MRT,THRISSUR,14,100,F
F,150000,95,state,65,121,MRT,THRISSUR,38,90,A+
F,36000,65,state,79,60,MGT,THRISSUR,23,80,C
F,42000,83,state,54,81,MGT,THRISSUR,26,94,C
M,205000,83,state,97,148,MRT,PALAKKAD,25,93,B
M,25000,74,state,52,109,NRI,THRISSUR,23,73,C
M,108000,65,cbsc,80,60,MGT,PALAKKAD,24,91,B
F,24000,89,state,75,79,MRT,THRISSUR,30,100,B
F,500000,52,cbsc,69,109,NRI,KOTTAYAM,18,75,F
M,60000,86,state,58,81,MRT,THRISSUR,33,93,B+
F,42000,94,state,90,106,MGT,THRISSUR,34,96,A
M,250000,65,cbsc,46,122,MGT,THRISSUR,23,87,C
M,86000,62,state,84,109,NRI,THRISSUR,12,75,F
F,525000,91,cbsc,93,193,MRT,THRISSUR,34,81,B+
F,200000,77,state,62,33,MRT,THRISSUR,25,73,F
F,42000,85,state,55,77,MRT,THRISSUR,33,97,B
M,42000,71,cbsc,91,64,MRT,THRISSUR,24,76,C
M,600000,68,cbsc,67,116,MGT,THRISSUR,25,91,C
F,120000,88,state,80,58,MGT,THRISSUR,38,87,A
M,300000,72,state,62,52,MGT,THRISSUR,17,100,F
M,100000,76,state,64,109,NRI,KOZHIKODE,21,83,F
F,210000,77,cbsc,86,256,MGT,THRISSUR,35,90,C
M,504000,70,cbsc,62,86,MGT,THRISSUR,20,87,F
F,120000,89,cbsc,74,162,MRT,THRISSUR,37,81,A
F,151000,88,state,75,49,MRT,THRISSUR,29,93,B
F,300000,94,state,68,172,MRT,THRISSUR,37,99,A+
M,140000,89,state,86,50,MRT,THRISSUR,31,87,C
M,1080000,65,cbsc,85,47,MRT,THRISSUR,23,73,P
M,1300000,78,state,93,87,MRT,THRISSUR,23,87,F
M,200000,80,state,87,51,MGT,THRISSUR,21,86,F
M,96000,81,state,57,68,MRT,THRISSUR,31,87,B
M,96000,88,state,74,68,MRT,THRISSUR,26,90,C
F,40000,88,state,77,70,MGT,MALAPPURAM,29,93,C
F,80000,84,state,85,33,MGT,THRISSUR,25,90,C
M,36000,91,state,86,184,MRT,THRISSUR,28,91,C
F,54000,91,state,86,118,MRT,THRISSUR,29,100,B+
F,562000,76,cbsc,80,162,MRT,THRISSUR,27,84,C
M,42000,81,state,92,44,MGT,THRISSUR,26,83,C
F,1000000,88,cbsc,89,196,MRT,THRISSUR,36,94,A+
F,200000,73,cbsc,68,109,NRI,THRISSUR,23,84,C
F,30000,73,state,76,47,MRT,THRISSUR,14,100,F
F,120000,63,icse,85,48,MGT,THRISSUR,24,90,C
M,700000,72,state,62,101,MGT,THRISSUR,12,100,F
F,150000,89,state,68,109,NRI,THRISSUR,34,89,B
F,48000,89,state,56,82,MRT,THRISSUR,30,97,B
M,7200,76,state,70,30,MRT,THRISSUR,19,84,F
M,96000,95,state,83,209,MRT,THRISSUR,36,83,A+
M,541140,74,cbsc,89,54,MRT,THRISSUR,35,96,B
M,400000,81,state,70,109,NRI,THRISSUR,20,73,F
M,52000,69,cbsc,96,45,MGT,THRISSUR,34,81,B+
F,12000,82,state,64,93,MGT,THRISSUR,26,84,C
